2026-09-19T01:41:23.7681711+08:00	Information	App	车载端启动：agvId=AGV-8005-STAGED-G3-01，environment=Development，version=0.2.0-safety-mock-travel+29fbf65e0b4d58c80849d5e6d0e44f40903c411e。
2026-09-19T01:41:24.4159822+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:1502，UnitId=255。
2026-09-19T01:41:24.4458437+08:00	Information	OnboardController	IO模块在线。
2026-09-19T01:41:24.4491368+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-19T01:41:24.8836265+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-19T01:41:27.0012025+08:00	Information	WireToGateSessionService	上层会话已建立：generation=2，readiness=RecoveryRequired。
2026-09-19T01:41:32.0177562+08:00	Warning	WireToGateSessionService	上层会话不可用：WIRE_TO_GATE会话尚未建立。。将在2秒后重连。
2026-09-19T01:41:34.1028344+08:00	Information	WireToGateSessionService	上层会话已建立：generation=3，readiness=RecoveryRequired。
2026-09-19T01:41:34.1283445+08:00	Error	WireToGateBusinessService	SafetyStateChanged发送失败，正在断开会话并以同一版本和内容重试。 | InvalidDataException: CORRELATION_INVALID
